aaa;aaa;anda;12;100;0;;;0
1273;;Aji Pcte. Bolsa R.M 1x1kg;56.85;1;N;1;1;0
1274;;Pimienta Bolsa R.M 1x1kg;56.54;3;N;1;1;0
7794268005121;;Provenzal Bolsa R.M 1x1kg;17.33;10;N;1;1;0
1277;;Yerba La Hoja Compues. 10x500grs;2.46;0;N;1;10;0
7794000541221;77794000541220;Caldos Wilde Carne x 6 (20);1.56;162;N;1;160;0
7894400001131;;Lamparas Philips  40w;1.65;628;N;1;100;0
7794000512115;77794000512114;Sopa Casera Letras x 71,5g (10);1.87;0;N;1;10;0
1291;;Polvo Limpiador Odex Brillador 12x500g;2.44;0;N;1;12;0
1293;;Espuma Afeitar Palmolive verde 6x300g;6.74;0;N;1;6;0
1294;;Cubanitos cubacoa x 40 u;4.34;0;N;1;10;0
1309;;Te Jumala Sobre x100(3);5.52;0;N;1;3;0
1310;;Espuma Afeitar Palmolive roja 6x300;6.74;0;N;1;6;0
1311;;Espuma Afeitar Palmolive Azul 6x300;6.74;0;N;1;6;0
1339;;Ala Glicerina Lv Vaj 15u x 750 cl;4.03;1118;N;1;15;0
7791290785021;;Ala Limon Lv Vaj 15u x 750ml;3.65;1073;N;1;15;0
1342;;M.T Seleccion TTo 6 x 700;3.56;0;N;1;6;0
1343;;M.T Seleccion Bco 6 x 700;3.56;0;N;1;6;0
1344;;S.A Seleccion TTo 6 x 700;3.45;0;N;1;6;0
7790762000020;;S.A Seleccion Bco 6 x 700;3.45;0;N;1;6;0
1346;;Tomba Vino Fino TTo 6 x 700;2.82;0;N;1;6;0
1347;;Termidor Bco 12 x 1000;3.33;0;N;1;12;0
1348;;Termidor TTo 12 x 1000;3.45;0;N;1;12;0
1349;;Bordolino TTo 12 x 1000;3.09;0;N;1;12;0
1350;;Bordolino Bco 12 x 1000;3.09;0;N;1;12;0
7791540122477;;Tomba Vino Fino Bco 6 x 700;2.85;0;N;1;6;0
1352;;Frizze Rojo 6 x 750;7.35;0;N;1;6;0
1353;;Frizze Blanco 6 x 750;7.35;0;N;1;6;0
1368;;Ca�a super sil trazo pta y estr x 6u;62.56;20;N;1;30;0
1369;;Mortero Thunder King x 6u;8.52;254;N;1;48;0
1370;;Ca�on trueno 1 5" Nac. x1 (24);9.29;28;N;1;60;0
1371;;Ca�on TRUENO  1 1/2 (12);7.56;0;N;1;60;0
7790580178109;;Masticables Surtidos Misky 10 x 800g;9.64;649;N;1;10;0
1373;;Petardo rompeportones x 5;6.59;13;N;1;100;0
7790380013822;;Turron de Mani Namur 36x90g;1.33;0;N;1;36;0
